"City","Country","Population"
"Rutana","Burundi",20893
"Cankuzo","Burundi",6585
"Muramvya","Burundi",18041
"Gitega","Burundi",23167
"Kirundo","Burundi",6083
"Muyinga","Burundi",71076
"Bubanza","Burundi",12728
"Karusi","Burundi",10705
"Ngozi","Burundi",21506
"Bujumbura","Burundi",331700
"Kandi","Benin",109701
"Ouidah","Benin",83503
"Lokossa","Benin",86971
"Natitingou","Benin",80892
"Abomey","Benin",82154
"Djougou","Benin",202810
"Parakou","Benin",188853
"Porto-Novo","Benin",300000
"Cotonou","Benin",762000
"Hamilton","Bermuda",52320
"Bandar Seri Begawan","Brunei",296500
"Uyuni","Bolivia",12939
"La Paz","Bolivia",1590000
"Sica Sica","Bolivia",1006
"Puerto Suarez","Bolivia",22000
"Coroico","Bolivia",2361
"Coro Coro","Bolivia",1884
"San Ignacio","Bolivia",25391
"San Matias","Bolivia",6352
"Santa Ana","Bolivia",234478
"Robore","Bolivia",10036
"Baures","Bolivia",2422
"Ascension","Bolivia",14429
"Oruro","Bolivia",246501
"Apolo","Bolivia",4189
"San Jose","Bolivia",9211
"Viacha","Bolivia",34776
"Charana","Bolivia",197
"Trinidad","Bolivia",84259
"Potosi","Bolivia",179901
"San Carlos","Bolivia",6353
"Quime","Bolivia",4045
"Reyes","Bolivia",7376
"Rurrenabaque","Bolivia",11749
"San Ramon","Bolivia",6490
"Achacachi","Bolivia",8447
"San Rafael","Bolivia",1201
"Magdalena","Bolivia",3445
"San Borja","Bolivia",19640
"Guayaramerin","Bolivia",36008
"Puerto Quijarro","Bolivia",10392
"Cochabamba","Bolivia",1000000
"Santa Cruz","Bolivia",2102998
"Sucre","Bolivia",224838
"Tupiza","Bolivia",28766
"San Lorenzo","Bolivia",3000
"Camargo","Bolivia",4715
"Villamontes","Bolivia",18761
"Cobija","Bolivia",44437
"Tarabuco","Bolivia",2428
"Camiri","Bolivia",27961
"Cuevo","Bolivia",953
"Charagua","Bolivia",3025
"Padilla","Bolivia",2920
"Bermejo","Bolivia",36544
"Entre Rios","Bolivia",2685
"Tarija","Bolivia",159269
"Villazon","Bolivia",37215
"Puerto Heath","Bolivia",10
"Piso Firme","Bolivia",72
"Betanzos","Bolivia",4847
"Sabaya","Bolivia",573
"Vallegrande","Bolivia",8422
"Samaipata","Bolivia",2926
"Llica","Bolivia",553
"Aiquile","Bolivia",8224
"Villa Martin","Bolivia",10
"San Javier","Bolivia",4210
"Riberalta","Bolivia",74014
"Llallagua","Bolivia",28069
"Uncia","Bolivia",4723
"Challapata","Bolivia",9114
"Quillacollo","Bolivia",227052
"Punata","Bolivia",26323
"Cliza","Bolivia",15816
"Portachuelo","Bolivia",11485
"Montero","Bolivia",88616
"Puerto Villarroel","Bolivia",1778
"Puerto Acosta","Bolivia",1123
"Sorata","Bolivia",2190
"Taua","Brazil",29188
"Uruguaiana","Brazil",123480
"Quixada","Brazil",49328
"Cabo de Santo Agostinho","Brazil",146219
"Sao Gabriel","Brazil",55434
"Sao Borja","Brazil",59613
"Santo Angelo","Brazil",65420
"Santa Rosa","Brazil",59281
"Quarai","Brazil",23229
"Salvador","Brazil",3484000
"Vila Velha","Brazil",1209091
"Santa Cruz do Sul","Brazil",113625
"Laguna","Brazil",39711
"Muriae","Brazil",91173
"Londrina","Brazil",520238
"Sao Lourenco do Sul","Brazil",25340
"Porto Uniao","Brazil",71578
"Itanhaem","Brazil",90385
"Foz do Iguacu","Brazil",440455
"Novo Hamburgo","Brazil",876990
"Viana","Brazil",26689
"Fernandopolis","Brazil",61931
"Guarapuava","Brazil",150850
"Guajara-Miram","Brazil",69586
"Arcoverde","Brazil",57163
"Mossoro","Brazil",202583
"Maringa","Brazil",328335
"Maracaju","Brazil",22690
"Estancia","Brazil",55654
"Crateus","Brazil",52933
"Ponta Pora","Brazil",94331
"Penapolis","Brazil",54477
"Cruzeiro do Sul","Brazil",56862
"Jacareacanga","Brazil",31661
"Erechim","Brazil",96087
"Chapadinha","Brazil",40804
"Itapipoca","Brazil",55784
"Bacabal","Brazil",72372
"Cascavel","Brazil",257172
"Curitiba","Brazil",3084000
"Aracati","Brazil",44293
"Jaboatao","Brazil",702621
"Ijui","Brazil",71202
"Apucarana","Brazil",107085
"Formosa","Brazil",81232
"Ico","Brazil",28323
"Ararangua","Brazil",43444
"Xapeco","Brazil",160157
"Nova Iguacu","Brazil",844583
"Andradina","Brazil",52406
"Capanema","Brazil",47766
"Baturite","Brazil",22417
"Aripuana","Brazil",26983
"Bom Jesus da Lapa","Brazil",40691
"Carazinho","Brazil",59417
"Cameta","Brazil",45200
"Campo Murao","Brazil",75401
"Aquidauana","Brazil",40803
"Brasilia","Brazil",3716996
"Braganca Paulista","Brazil",127676
"Assis","Brazil",87471
"Paragominas","Brazil",69613
"Caceres","Brazil",85274
"Bento Goncalves","Brazil",94271
"Santo Andre","Brazil",662373
"Bage","Brazil",106098
"Tres Lagoas","Brazil",78712
"Caracarai","Brazil",11368
"Concordia","Brazil",55367
"Camaqua","Brazil",53169
"Guaira","Brazil",36426
"Jaragua do Sul","Brazil",130130
"Aracatuba","Brazil",170024
"Olinda","Brazil",921840
"Recife","Brazil",3651000
"Natal","Brazil",980588
"Presidente Prudente","Brazil",209502
"Parnaiba","Brazil",138008
"Crato","Brazil",273883
"Santana do Livramento","Brazil",89694
"Corumba","Brazil",96520
"Abuna","Brazil",1929
"Campo Grande","Brazil",778000
"Itaituba","Brazil",92308
"Joacaba","Brazil",38876
"Rio Branco","Brazil",257642
"Acarau","Brazil",28389
"Pelotas","Brazil",320674
"Manaus","Brazil",1753000
"Cachoeira do Sul","Brazil",74694
"Jardim","Brazil",23780
"Santa Maria","Brazil",249219
"Rosario do Sul","Brazil",36721
"Joinville","Brazil",988000
"Ji-Parana","Brazil",65016
"Arapongas","Brazil",97512
"Dourados","Brazil",162202
"Cacador","Brazil",63726
"Jaguarao","Brazil",29613
"Passo Fundo","Brazil",179529
"Santa Vitoria do Palmar","Brazil",27775
"Porto Alegre","Brazil",3917000
"Acu","Brazil",36125
"Rio Grande","Brazil",187838
"Sena Madureira","Brazil",26192
"Sao Luiz Gonzaga","Brazil",31798
"Tupa","Brazil",62035
"Ponta Grossa","Brazil",292177
"Palmas","Brazil",39150
"Grajau","Brazil",30217
"Sao Francisco do Sul","Brazil",36224
"Caxias do Sul","Brazil",381270
"Sorocaba","Brazil",563281
"Rio Negro","Brazil",65597
"Capitao Poco","Brazil",32704
"Canoas","Brazil",600000
"Granja","Brazil",25879
"Sobral","Brazil",157996
"Camocim","Brazil",44481
"Almenara","Brazil",29333
"Aracuai","Brazil",22005
"Teofilo Otoni","Brazil",101170
"Floriano","Brazil",48587
"Colinas","Brazil",25158
"Caxias","Brazil",134640
"Pedreiras","Brazil",13638
"Barra do Corda","Brazil",48901
"Jacarezinho","Brazil",35090
"Presidente Dutra","Brazil",30330
"Coroata","Brazil",34129
"Codo","Brazil",83288
"Paulo Afonso","Brazil",85350
"Palmeira dos Indios","Brazil",41095
"Cuiaba","Brazil",806000
"Tubarao","Brazil",92275
"Vacaria","Brazil",56765
"Criciuma","Brazil",204217
"Campo Belo","Brazil",47491
"Salinopolis","Brazil",40998
"Guaxupe","Brazil",47889
"Sete Lagoas","Brazil",201334
"Itauna","Brazil",77400
"Novo Airao","Brazil",9049
"Tucurui","Brazil",76337
"Varzea Grande","Brazil",249752
"Formiga","Brazil",56404
"Santa Ines","Brazil",67424
"Divinopolis","Brazil",193832
"Pirapora","Brazil",60164
"Lavras","Brazil",81472
"Obidos","Brazil",27587
"Curvelo","Brazil",63954
"Conceicao do Araguaia","Brazil",27115
"Oriximina","Brazil",35581
"Paracatu","Brazil",70753
"Itaberai","Brazil",22129
"Uberlandia","Brazil",563536
"Araxa","Brazil",82595
"Iguatu","Brazil",70380
"Itumbiara","Brazil",79582
"Lapa","Brazil",25621
"Cristalina","Brazil",36531
"Trindade","Brazil",97521
"Inhumas","Brazil",44058
"Goiania","Brazil",2022000
"Castro","Brazil",42091
"Ituiutaba","Brazil",85345
"Uberaba","Brazil",260843
"Araguari","Brazil",96565
"Anapolis","Brazil",319587
"Pocos de Caldas","Brazil",146588
"Sao Joao del Rei","Brazil",78592
"Pires do Rio","Brazil",24822
"Aracaju","Brazil",685356
"Manicore","Brazil",21549
"Pouso Alegre","Brazil",115201
"Ariquemes","Brazil",58096
"Morrinhos","Brazil",34143
"Americana","Brazil",479472
"Avare","Brazil",81285
"Barretos","Brazil",101220
"Batatais","Brazil",51976
"Bauru","Brazil",335024
"Botucatu","Brazil",113862
"Catalao","Brazil",63544
"Irati","Brazil",45830
"Santa Cruz","Brazil",27775
"Tucano","Brazil",31203
"Timbauba","Brazil",57534
"Passos","Brazil",98752
"Manacapuru","Brazil",59102
"Barreiros","Brazil",35565
"Pimenta Bueno","Brazil",25762
"Vilhena","Brazil",63231
"Pinheiro","Brazil",38893
"Belo Horizonte","Brazil",5575000
"Carpina","Brazil",165579
"Serrinha","Brazil",56829
"Arapiraca","Brazil",187668
"Paracuru","Brazil",21196
"Telemaco Borba","Brazil",58880
"Penedo","Brazil",42097
"Xique-Xique","Brazil",35433
"Barra Mansa","Brazil",169386
"Alagoinhas","Brazil",124070
"Remanso","Brazil",37945
"Maceio","Brazil",1186000
"Frutal","Brazil",40931
"Irece","Brazil",63626
"Pontes e Lacerda","Brazil",29381
"Volta Redonda","Brazil",456362
"Senhor do Bonfim","Brazil",48471
"Garanhuns","Brazil",110085
"Rio Largo","Brazil",158545
"Caninde","Brazil",42720
"Feira de Santana","Brazil",481911
"Paranagua","Brazil",141013
"Mineiros","Brazil",38951
"Crato","Brazil",273883
"Juazeiro do Norte","Brazil",225230
"Jatai","Brazil",76547
"Canavieiras","Brazil",26375
"Rondonopolis","Brazil",152912
"Paranaiba","Brazil",32217
"Sao Jose dos Pinhais","Brazil",665063
"Rio Verde","Brazil",48318
"Natal","Brazil",1088000
"Joao Pessoa","Brazil",956000
"Goiana","Brazil",71549
"Apodi","Brazil",16757
"Mato Grosso","Brazil",1612
"Itambe","Brazil",23558
"Vitoria da Conquista","Brazil",308204
"Barreiras","Brazil",158292
"Januaria","Brazil",34811
"Ubaitaba","Brazil",28375
"Jaguaquara","Brazil",41498
"Jequie","Brazil",135574
"Janauba","Brazil",56572
"Santa Maria da Vitoria","Brazil",23488
"Guanambi","Brazil",58877
"Registro","Brazil",53273
"Iguape","Brazil",23784
"Ilheus","Brazil",230622
"Itabuna","Brazil",221938
"Ipora","Brazil",28254
"Iturama","Brazil",29805
"Caico","Brazil",54934
"Valenca","Brazil",63231
"Caruaru","Brazil",242094
"Campina Grande","Brazil",417261
"Nova Cruz","Brazil",23166
"Fortaleza","Brazil",3602319
"Itapetinga","Brazil",59721
"Russas","Brazil",39465
"Patos","Brazil",92575
"Pindamonhangaba","Brazil",132218
"Ipu","Brazil",26678
"Itapeva","Brazil",62957
"Itapetininga","Brazil",126243
"Itu","Brazil",320170
"Campo Maior","Brazil",31739
"Picos","Brazil",57495
"Piripiri","Brazil",44864
"Campinas","Brazil",2791000
"Catanduva","Brazil",109612
"Piracicaba","Brazil",342209
"Pirassununga","Brazil",60413
"Timon","Brazil",203157
"Teresina","Brazil",907000
"Canela","Brazil",60806
"Barra do Bugres","Brazil",31311
"Governador Valadares","Brazil",250878
"Guanhaes","Brazil",23727
"Salgueiro","Brazil",42152
"Linhares","Brazil",105075
"Blumenau","Brazil",293949
"Santa Cruz Cabralia","Brazil",19545
"Sao Jose de Ribamar","Brazil",55265
"Sao Mateus","Brazil",77117
"Sao Luis","Brazil",1038000
"Rosario","Brazil",6798
"Porto Seguro","Brazil",123173
"Nanuque","Brazil",37824
"Alvorada","Brazil",10232
"Ipatinga","Brazil",407894
"Nova Lima","Brazil",88399
"Diamantina","Brazil",37343
"Itapecuru Mirim","Brazil",34943
"Bocaiuva","Brazil",32114
"Nova Vicosa","Brazil",55980
"Itamaraju","Brazil",47628
"Montes Claros","Brazil",332379
"Caratinga","Brazil",60066
"Uba","Brazil",97828
"Alta Floresta","Brazil",40466
"Ponte Nova","Brazil",48187
"Castanhal","Brazil",137406
"Conselheiro Lafaiete","Brazil",111596
"Juiz de Fora","Brazil",470193
"Leopoldina","Brazil",46742
"Cachoeiro de Itapemirim","Brazil",187019
"Barbacena","Brazil",122211
"Brusque","Brazil",88284
"Florianopolis","Brazil",1023000
"Porto Nacional","Brazil",9129
"Principe da Beira","Brazil",956
"Itajai","Brazil",327126
"Belem","Brazil",2167000
"Palmas","Brazil",235315
"Xinguara","Brazil",4047
"Braganca","Brazil",57163
"Vitoria","Brazil",1704000
"Parintins","Brazil",64428
"Viseu","Brazil",18958
"Colider","Brazil",27139
"Sinop","Brazil",8961
"Cabo Frio","Brazil",261721
"Campos","Brazil",387417
"Petrolina","Brazil",260985
"Juazeiro","Brazil",95132
"Brumado","Brazil",41989
"Osorio","Brazil",34628
"Petropolis","Brazil",286071
"Rio de Janeiro","Brazil",11748000
"Breves","Brazil",47164
"Nova Friburgo","Brazil",171991
"Jaboticabal","Brazil",69394
"Lajes","Brazil",164676
"Araguaina","Brazil",50444
"Maraba","Brazil",166182
"Itupiranga","Brazil",21301
"Barras","Brazil",21597
"Rolim de Moura","Brazil",24516
"Sao Jose dos Campos","Brazil",753769
"Gurupi","Brazil",64789
"Itaberaba","Brazil",47301
"Macae","Brazil",143029
"Miracema","Brazil",26684
"Niteroi","Brazil",1500513
"Marilia","Brazil",212218
"Franca","Brazil",305041
"Maues","Brazil",32561
"Sao Carlos","Brazil",205035
"Guaratingueta","Brazil",203580
"Santarem","Brazil",230428
"Garca","Brazil",41302
"Ourinhos","Brazil",97799
"Jau","Brazil",119206
"Tatui","Brazil",93580
"Taubate","Brazil",403560
"Rio Claro","Brazil",180147
"Santos","Brazil",1709000
"Sao Joao da Boa Vista","Brazil",76540
"Barra do Garcas","Brazil",52398
"Sao Jose do Rio Preto","Brazil",374699
"Jundiai","Brazil",505548
"Coari","Brazil",53305
"Ribeirao Preto","Brazil",551267
"Limeira","Brazil",289665
"Novo Horizonte","Brazil",30158
"Abaetetuba","Brazil",79420
"Tocantinopolis","Brazil",8750
"Amapa","Brazil",1947
"Vila Velha","Brazil",1209091
"Sao Cabriel da Cachoeira","Brazil",15231
"Tefe","Brazil",51437
"Fonte Boa","Brazil",16060
"Imperatriz","Brazil",218106
"Niquelandia","Brazil",27541
"Goianesia","Brazil",47883
"Ceres","Brazil",18759
"Portel","Brazil",21315
"Canoinhas","Brazil",41498
"Altamira","Brazil",70888
"Boa Vista","Brazil",235150
"Sao Paulo","Brazil",18845000
"Macapa","Brazil",499166
"Itacoatiara","Brazil",51509
"Alenquer","Brazil",26290
"Porto Santana","Brazil",83927
"Barcelos","Brazil",12584
"Tonantins","Brazil",4561
"Imbituba","Brazil",43450
"Balsas","Brazil",68056
"Eirunepe","Brazil",21750
"Porto Velho","Brazil",306180
"Nassau","Bahamas, The",227940
"Freeport","Bahamas, The",25383
"Thimphu","Bhutan",98676
"Wangdue Prodrang","Bhutan",5000
"Punakha","Bhutan",5000
"Paro","Bhutan",15000
"Mohembo","Botswana",757
"Ghanzi","Botswana",6306
"Nokaneng","Botswana",1763
"Lokhwabe","Botswana",1473
"Lehututu","Botswana",1942
"Tshabong","Botswana",9679
"Tsau","Botswana",1409
"Mochudi","Botswana",39700
"Nata","Botswana",4794
"Maun","Botswana",49945
"Serowe","Botswana",48573
"Kanye","Botswana",46831
"Mahalapye","Botswana",50744
"Palapye","Botswana",30650
"Molepolole","Botswana",63248
"Mopipi","Botswana",3301
"Kasane","Botswana",9250
"Gaborone","Botswana",208411
"Lobatse","Botswana",69804
"Francistown","Botswana",89979
"Minsk","Belarus",1805000
"Brest","Belarus",300715
"Lida","Belarus",100216
"Baranavichy","Belarus",168772
"Mazyr","Belarus",112137
"Hrodna","Belarus",317365
"Pinsk","Belarus",130777
"Maladzyechna","Belarus",101300
"Barysaw","Belarus",155389
"Polatsk","Belarus",82258
"Orsha","Belarus",135206
"Babruysk","Belarus",220517
"Homyel","Belarus",480951
"Mahilyow","Belarus",369200
"Vitsyebsk","Belarus",342700
"Belmopan","Belize",15220
"Corozal","Belize",8724
"Belize City","Belize",63028
"Dangriga","Belize",10750
"Orange Walk","Belize",20835
"Punta Gorda","Belize",7748
"El Cayo","Belize",16977
"Selkirk","Canada",9986
"Trepassey","Canada",398
"Schefferville","Canada",471
"Whitehorse","Canada",23276
"Trout River","Canada",452
"Yorkton","Canada",15172
"Antigonish","Canada",6739
"Gander","Canada",3345
"Berens River","Canada",892
"Port-Menier","Canada",263
"Wetaskiwin","Canada",11823
"Shamattawa","Canada",870
"Steinbach","Canada",9729
"Thunder Bay","Canada",99334
"Oshawa","Canada",450963
"Chicoutimi","Canada",53940
"Melville","Canada",4279
"Brooks","Canada",14163
"Dauphin","Canada",9077
"Smithers","Canada",6245
"Terrace","Canada",19443
"Lutselke","Canada",102
"Resolute","Canada",250
"Quesnel","Canada",13788
"Island Lake","Canada",10
"Halifax","Canada",359111
"Watson Lake","Canada",802
"Sydney","Canada",37538
"Dawson Creek","Canada",10802
"Uranium City","Canada",89
"Timmins","Canada",34974
"Saskatoon","Canada",198958
"Iqaluit","Canada",6124
"Alert","Canada",125
"Thessalon","Canada",1464
"Yellowknife","Canada",19234
"Camrose","Canada",15808
"Campbell River","Canada",33430
"Revelstoke","Canada",7668
"Meadow Lake","Canada",5882
"Atikokan","Canada",3625
"Creston","Canada",4816
"Gillam","Canada",1281
"Cranbrook","Canada",18610
"Little Current","Canada",1595
"Calgary","Canada",1110000
"Big Beaver House","Canada",10
"Parry Sound","Canada",7105
"Kamloops","Canada",68714
"Dolbeau","Canada",13337
"St. John's","Canada",131469
"Lansdowne House","Canada",120
"Paulatuk","Canada",294
"Attawapiskat","Canada",1802
"Rimouski","Canada",35584
"Grand Prairie","Canada",41462
"La Sarre","Canada",7206
"Mingan","Canada",588
"Prince Albert","Canada",34609
"Moose Jaw","Canada",32166
"Powell River","Canada",12779
"Pangnirtung","Canada",1320
"Nelson","Canada",11779
"Peace River","Canada",5340
"Cobalt","Canada",1372
"New Glasgow","Canada",20322
"Arctic Bay","Canada",604
"Burwash Landing","Canada",73
"Saint-Georges","Canada",26149
"Vancouver","Canada",2313328
"Medicine Hat","Canada",63138
"Port Hope Simpson","Canada",197
"Deer Lake","Canada",4163
"Vegreville","Canada",5813
"Bella Bella","Canada",1400
"Rankin Inlet","Canada",2472
"Owen Sound","Canada",22625
"Lac La Biche","Canada",2986
"Hopedale","Canada",442
"Norway House","Canada",6000
"Coral Harbour","Canada",834
"Kugluktuk","Canada",1302
"Norman Wells","Canada",1027
"Fort Resolution","Canada",448
"Fort McPherson","Canada",1069
"Forteau","Canada",448
"Kuujjuaq","Canada",1273
"Cape Dorset","Canada",1326
"Cartwright","Canada",505
"Flin Flon","Canada",6393
"Holman","Canada",500
"Pembroke","Canada",15551
"Baker Lake","Canada",1584
"Moosonee","Canada",1725
"Dryden","Canada",7862
"Corner Brook","Canada",20791
"Kelowna","Canada",125109
"Fort Smith","Canada",518
"Fort Severn","Canada",125
"Mont-Laurier","Canada",11642
"Channel-Port aux Basques","Canada",4220
"Kindersley","Canada",4383
"Igloolik","Canada",1612
"Hudson Bay","Canada",2157
"Courtenay","Canada",32793
"Mistassini","Canada",2645
"Kingston","Canada",114195
"Eastmain","Canada",335
"Baie-Comeau","Canada",10435
"North Bay","Canada",50170
"North Battleford","Canada",19440
"Grise Fiord","Canada",23
"Hay River","Canada",3900
"Stony Rapids","Canada",152
"Hinton","Canada",10265
"Toronto","Canada",5213000
"Edmonton","Canada",1058000
"Gjoa Haven","Canada",1109
"Fort Simpson","Canada",283
"Repulse Bay","Canada",1000
"Lethbridge","Canada",70617
"Sudbury","Canada",157857
"Swift Current","Canada",14906
"Regina","Canada",176183
"Cornwall","Canada",48821
"Taloyoak","Canada",774
"Tuktoyaktuk","Canada",929
"Deer Lake","Canada",3743
"London","Canada",346765
"Natashquan","Canada",722
"Cap-Chat","Canada",1484
"Orillia","Canada",37483
"Kenora","Canada",10852
"Barrie","Canada",182041
"Sherbrooke","Canada",139652
"St. Anthony","Canada",224
"Rigolet","Canada",124
"Fort Good Hope","Canada",597
"La Scie","Canada",817
"Fort St. John","Canada",18776
"Marathon","Canada",4627
"Gaspe","Canada",3677
"Nelson House","Canada",2500
"Lillooet","Canada",2893
"Fort McMurray","Canada",21863
"Jasper","Canada",3907
"Buchans","Canada",685
"Stettler","Canada",5494
"La Ronge","Canada",3783
"Brochet","Canada",278
"Baddeck","Canada",852
"Pond Inlet","Canada",1549
"St-Augustin","Canada",3961
"Gimli","Canada",2623
"Red Lake","Canada",1765
"Stephenville","Canada",7054
"Ennadai","Canada",0
"Happy Valley - Goose Bay","Canada",7572
"Williams Lake","Canada",14168
"Prince Rupert","Canada",14708
"Chilliwack","Canada",51942
"Radisson","Canada",270
"Churchill","Canada",1000
"Port Hardy","Canada",2295
"Penticton","Canada",37721
"Drummondville","Canada",59489
"Brandon","Canada",28418
"Argentia","Canada",1063
"Kimmirut","Canada",385
"Wiarton","Canada",2182
"Ottawa","Canada",1145000
"Fort Chipewyan","Canada",3222
"Fort Nelson","Canada",6315
"Lynn Lake","Canada",482
"Weyburn","Canada",9362
"Burns Lake","Canada",2635
"Nain","Canada",1151
"Prince George","Canada",65558
"Cochrane","Canada",4441
"Nipigon","Canada",1204
"Riviere-du-Loup","Canada",16403
"St.-Jerome","Canada",78439
"Geraldton","Canada",1290
"New Liskeard","Canada",5203
"Cat Lake","Canada",277
"Tofino","Canada",1655
"Tsiigehtchic","Canada",175
"Thompson","Canada",13727
"Abbotsford","Canada",151683
"Trois Rivieres","Canada",119693
"Peterborough","Canada",83627
"Amos","Canada",10516
"Chapleau","Canada",2663
"Athabasca","Canada",2539
"Red Deer","Canada",74857
"Belleville","Canada",43990
"Kapuskasing","Canada",9240
"Sioux Lookout","Canada",4570
"Winnipeg","Canada",632063
"Lake Louise","Canada",1248
"Banff","Canada",7502
"Doline","Canada",525
"Cambridge Bay","Canada",1477
"Biggar","Canada",2192
"Nanaimo","Canada",84905
"Val d'Or","Canada",20625
"Hall Beach","Canada",654
"Oxford House","Canada",184
"The Pas","Canada",6055
"Meander River","Canada",200
"Bathurst","Canada",6111
"Windsor","Canada",3864
"Victoriaville","Canada",41500
"Brockville","Canada",26458
"Hamilton","Canada",721053
"Kitchener","Canada",417001
"Victoria","Canada",289625
"Orangeville","Canada",32640
"Sandspit","Canada",538
"Wawa","Canada",2174
"Kangirsuk","Canada",549
"Shawinigan","Canada",49161
"Hearst","Canada",5043
"Pukatawagan","Canada",431
"Arviat","Canada",1868
"Matagami","Canada",1966
"Saint John","Canada",87857
"Inuvik","Canada",3022
"Chesterfield Inlet","Canada",374
"Rouyn-Noranda","Canada",24602
"Liverpool","Canada",4331
"Montreal","Canada",3678000
"Shelburne","Canada",3167
"Yarmouth","Canada",7500
"Salluit","Canada",106
"Ivugivik","Canada",156
"Quebec","Canada",624177
"Dawson City","Canada",1319
"Moncton","Canada",90635
"Digby","Canada",3949
"Fredericton","Canada",52337
"Dease Lake","Canada",303
"Charlottetown","Canada",42402
"Inukjuak","Canada",1597
"Sarnia","Canada",144172
"Edmundston","Canada",17894
"Windsor","Canada",319246
"Joliette","Canada",45361
"Amherst","Canada",9336
"Sept-Iles","Canada",25686
"Kimpese","Congo (Kinshasa)",10578
"Uvira","Congo (Kinshasa)",170391
"Mbandaka","Congo (Kinshasa)",274996
"Boma","Congo (Kinshasa)",178638
"Basankusu","Congo (Kinshasa)",52216
"Moanda","Congo (Kinshasa)",153915
"Lubutu","Congo (Kinshasa)",1313
"Mbanza-Ngungu","Congo (Kinshasa)",197545
"Kasongo","Congo (Kinshasa)",63000
"Tshela","Congo (Kinshasa)",38845
"Buluko","Congo (Kinshasa)",1192
"Beni","Congo (Kinshasa)",332903
"Kampene","Congo (Kinshasa)",37034
"Goma","Congo (Kinshasa)",144124
"Mwenga","Congo (Kinshasa)",2216
"Kalima","Congo (Kinshasa)",194
"Kindu","Congo (Kinshasa)",262914
"Bukavu","Congo (Kinshasa)",436779
"Butembo","Congo (Kinshasa)",286403
"Mbuji-Mayi","Congo (Kinshasa)",1295000
"Kinshasa","Congo (Kinshasa)",7843000
"Kasangulu","Congo (Kinshasa)",27961
"Tshikapa","Congo (Kinshasa)",267462
"Aketi","Congo (Kinshasa)",58601
"Dibaya","Congo (Kinshasa)",603
"Luebo","Congo (Kinshasa)",35183
"Buta","Congo (Kinshasa)",45677
"Ilebo","Congo (Kinshasa)",107093
"Kananga","Congo (Kinshasa)",765000
"Bondo","Congo (Kinshasa)",23517
"Mweka","Congo (Kinshasa)",50675
"Demba","Congo (Kinshasa)",22263
"Isiro","Congo (Kinshasa)",157196
"Wamba","Congo (Kinshasa)",146871
"Kamina","Congo (Kinshasa)",128803
"Bukama","Congo (Kinshasa)",38770
"Watsa","Congo (Kinshasa)",24516
"Kaniama","Congo (Kinshasa)",36481
"Mongbwalu","Congo (Kinshasa)",2819
"Bunia","Congo (Kinshasa)",96764
"Binga","Congo (Kinshasa)",64639
"Bongandanga","Congo (Kinshasa)",4105
"Lubumbashi","Congo (Kinshasa)",1352000
"Lisala","Congo (Kinshasa)",70087
"Gbadolite","Congo (Kinshasa)",50493
"Kipushi","Congo (Kinshasa)",113347
"Bumba","Congo (Kinshasa)",160539
"Kasongo-Lunda","Congo (Kinshasa)",20060
"Businga","Congo (Kinshasa)",34247
"Luanza","Congo (Kinshasa)",861
"Kahemba","Congo (Kinshasa)",50000
"Likasi","Congo (Kinshasa)",434408
"Kambove","Congo (Kinshasa)",36702
"Lusanga","Congo (Kinshasa)",177
"Bosobolo","Congo (Kinshasa)",14553
"Bafwasende","Congo (Kinshasa)",149
"Kongolo","Congo (Kinshasa)",105202
"Basoko","Congo (Kinshasa)",43709
"Kisangani","Congo (Kinshasa)",578470
"Manono","Congo (Kinshasa)",46111
"Mushie","Congo (Kinshasa)",33062
"Inongo","Congo (Kinshasa)",40113
"Zongo","Congo (Kinshasa)",17667
"Kenge","Congo (Kinshasa)",241
"Boende","Congo (Kinshasa)",32091
"Yangambi","Congo (Kinshasa)",35531
"Gemena","Congo (Kinshasa)",198056
"Moba","Congo (Kinshasa)",10006
"Libenge","Congo (Kinshasa)",27053
"Kalemie","Congo (Kinshasa)",206257
"Nyunzu","Congo (Kinshasa)",15397
"Kabalo","Congo (Kinshasa)",29833
"Bolobo","Congo (Kinshasa)",27862
"Ikela","Congo (Kinshasa)",291
"Kikwit","Congo (Kinshasa)",637736
"Lubao","Congo (Kinshasa)",43068
"Gandajika","Congo (Kinshasa)",154425
"Lusambo","Congo (Kinshasa)",41416
"Kolwezi","Congo (Kinshasa)",418000
"Kasaji","Congo (Kinshasa)",11969
"Kabinda","Congo (Kinshasa)",59004
"Bandundu","Congo (Kinshasa)",118211
"Mwene-Ditu","Congo (Kinshasa)",189177
"Lodja","Congo (Kinshasa)",68244
"Dilolo","Congo (Kinshasa)",7854
"Bulungu","Congo (Kinshasa)",48344
"Mangai","Congo (Kinshasa)",37188
"Matadi","Congo (Kinshasa)",245862
"Bangui","Central African Republic",831925
"Nola","Central African Republic",26809
"Bozoum","Central African Republic",40201
"Bambari","Central African Republic",62098
"Mobaye","Central African Republic",19431
"Kaga Bandoro","Central African Republic",56520
"Sibut","Central African Republic",34267
"Carnot","Central African Republic",38071
"Bouar","Central African Republic",34372
"Berberati","Central African Republic",61815
"Zemio","Central African Republic",20000
"Yakossi","Central African Republic",500
"Ouadda","Central African Republic",5434
"Obo","Central African Republic",12887
"Bangassou","Central African Republic",32841
"Mbaiki","Central African Republic",67132
"Bossembele","Central African Republic",7287
"Bossangoa","Central African Republic",63064
